srcid,dstid,Sequence
24408,29770,14344
20712,14628,14345
2617,30352,14346
26649,23730,14347
7903,8337,14348
24296,29766,14349
18216,28836,14350
24170,30100,14351
7920,8357,14352
18227,27104,14353
18342,28366,14354
24446,30109,14355
18350,2688,14356
19004,29064,14357
7868,8188,14358
12026,28592,14359
7897,8421,14360
7916,8193,14361
18227,16557,14362
18219,1363,14363
18219,28236,14364
12329,28377,14365
18219,7546,14366
3665,26697,14367
472,28112,14368
18971,28398,14369
18219,13017,14370
18223,28399,14371
6781,28399,14372
7369,28399,14373
14018,28981,14374
1934,7550,14375
9209,1363,14376
18219,28377,14377
18360,28368,14378
23559,24552,14379
7724,8004,14380
26270,22904,14381
18311,30353,14382
10502,29217,14383
12205,30300,14384
7829,8199,14385
18219,3119,14386
6349,8636,14387
7859,8218,14388
26428,23778,14389
24503,23022,14390
7852,8340,14391
7829,8419,14392
30800,23730,14393
27020,23730,14394
26428,23730,14395
18223,16401,14396
24215,23743,14397
18221,16401,14398
18357,9018,14399
12102,28367,14400
12287,12763,14401
13444,15052,14402
30632,25214,14403
7845,8167,14404
13421,28887,14405
9932,23385,14406
18139,4376,14407
27250,28367,14408
26258,29480,14409
26259,14180,14410
18315,13006,14411
3641,28359,14412
10674,27110,14413
18171,12867,14414
1717,1171,14415
3838,26684,14416
20842,13132,14417
20609,28921,14418
18171,24675,14419
7895,8439,14420
8000,8428,14421
1912,26030,14422
18219,1419,14423
20753,1597,14424
17188,28379,14425
4866,28334,14426
18173,1353,14427
17253,30352,14428
7,8513,14429
7895,8354,14430
18171,3315,14431
21295,29077,14432
25695,28126,14433
19249,16120,14434
7807,8452,14435
30971,29563,14436
28744,26620,14437
25635,29563,14438
18219,29013,14439
19622,25085,14440
7945,8435,14441
15513,28315,14442
18206,1742,14443
12156,4499,14444
17745,22576,14445
17723,26324,14446
18531,15082,14447
20669,30538,14448
17253,28379,14449
30933,30574,14450
13197,29066,14451
27481,29545,14452
18196,24839,14453
20278,28938,14454
6176,8297,14455
7895,8402,14456
6607,29070,14457
28744,29486,14458
19231,28364,14459
7897,8639,14460
2928,8337,14461
7845,8310,14462
13609,28389,14463
18219,7620,14464
18300,28261,14465
18227,24606,14466
19249,30358,14467
7724,8415,14468
9414,28921,14469
18219,4587,14470
7773,8441,14471
18355,1181,14472
7895,3333,14473
7895,8511,14474
18139,7537,14475
18933,25454,14476
7750,8443,14477
18891,28919,14478
18227,30340,14479
745,28921,14480
18355,27039,14481
7882,8351,14482
18219,25488,14483
20822,25453,14484
19023,28919,14485
14666,28938,14486
18219,26621,14487
14388,28895,14488
18280,4448,14489
9881,29095,14490
7810,8482,14491
7937,8346,14492
20710,28055,14493
18112,28389,14494
14154,25087,14495
7868,8339,14496
26221,23004,14497
2565,23019,14498
7861,8040,14499
3671,7354,14500
7889,11601,14501
7873,8630,14502
18227,30220,14503
7777,8384,14504
7895,3351,14505
19668,28367,14506
7030,28921,14507
20753,28106,14508
18227,7329,14509
18973,29076,14510
18229,10107,14511
18353,2691,14512
7895,8494,14513
18306,4448,14514
1275,28105,14515
7895,4697,14516
20353,28938,14517
18150,28048,14518
15629,29940,14519
18306,28152,14520
7944,8337,14521
4691,2813,14522
20322,14628,14523
7895,8615,14524
27287,19066,14525
9592,26218,14526
7897,8646,14527
18227,30468,14528
7892,8162,14529
20737,13974,14530
20704,28366,14531
18165,28988,14532
17554,28429,14533
18165,2463,14534
6728,28359,14535
18156,28359,14536
18165,2688,14537
4396,26535,14538
14361,8131,14539
18165,28147,14540
3814,28410,14541
3636,28359,14542
19618,28345,14543
6778,27811,14544
18165,26684,14545
1907,26028,14546
18165,4460,14547
18165,13001,14548
18165,28310,14549
18165,27108,14550
18162,3200,14551
3648,14623,14552
18165,27110,14553
27253,28359,14554
7780,8337,14555
21383,11411,14556
12140,28055,14557
7895,8605,14558
18318,1419,14559
7719,8228,14560
18263,4503,14561
20034,30352,14562
30954,29083,14563
18189,28361,14564
18114,28389,14565
25893,23021,14566
20780,28921,14567
10586,27085,14568
7810,8188,14569
17190,4456,14570
18219,2996,14571
7937,3353,14572
3561,21,14573
25717,29131,14574
20823,28366,14575
18292,29995,14576
18116,29545,14577
21879,26400,14578
18322,25477,14579
20676,18554,14580
18150,27033,14581
20691,25430,14582
20705,24912,14583
19647,13145,14584
18221,18427,14585
21849,26405,14586
18219,30468,14587
20762,24616,14588
18326,29995,14589
18198,16410,14590
18236,25233,14591
18144,29995,14592
18119,25430,14593
26650,23028,14594
18304,25430,14595
26279,29484,14596
4339,22944,14597
18336,28366,14598
20868,24912,14599
17591,11516,14600
19249,15359,14601
18227,26847,14602
9264,4448,14603
18225,15189,14604
18313,25477,14605
18354,24912,14606
18287,25477,14607
18342,29995,14608
18221,15098,14609
30930,24928,14610
18221,15189,14611
20696,25477,14612
19077,28368,14613
18150,22547,14614
18221,18488,14615
18319,25430,14616
18133,25477,14617
20683,28383,14618
18240,18554,14619
18221,18417,14620
18223,18523,14621
3671,29527,14622
18292,28856,14623
18159,27037,14624
18223,15189,14625
18223,18417,14626
18189,26724,14627
1962,24960,14628
9127,26252,14629
22584,22851,14630
529,25516,14631
15570,24611,14632
18137,18554,14633
18197,28223,14634
18223,18420,14635
18282,2781,14636
4699,10362,14637
18126,27014,14638
18188,11434,14639
18326,28367,14640
18109,27037,14641
20676,28095,14642
18661,28367,14643
6754,28510,14644
17873,15359,14645
18112,4959,14646
31062,26724,14647
9215,15272,14648
18489,28921,14649
10617,27115,14650
18227,15319,14651
18232,10410,14652
18125,28288,14653
7815,8453,14654
6757,30321,14655
18227,1764,14656
10578,29545,14657
7030,29066,14658
18245,15359,14659
6353,8906,14660
20717,25030,14661
25765,28225,14662
18304,28657,14663
18304,11366,14664
483,18557,14665
21395,28921,14666
18219,30355,14667
18156,24680,14668
18160,10115,14669
18219,4591,14670
18251,9978,14671
18310,28439,14672
18221,16434,14673
18228,16431,14674
18292,24874,14675
21860,27033,14676
1961,28197,14677
18219,30350,14678
18112,11369,14679
18223,15055,14680
3668,15055,14681
18917,28369,14682
20743,11369,14683
18153,18523,14684
3668,15748,14685
18223,10413,14686
18495,6458,14687
19608,8999,14688
9171,28977,14689
18227,28931,14690
7009,28366,14691
7844,8358,14692
20717,27033,14693
17496,30355,14694
18550,15055,14695
18223,26531,14696
26574,22999,14697
18157,24874,14698
18723,18571,14699
18023,15055,14700
27028,23022,14701
18198,15126,14702
18223,15088,14703
18269,28367,14704
18269,28921,14705
18221,18426,14706
18223,15131,14707
26439,4083,14708
26072,2334,14709
1383,23233,14710
7765,8228,14711
18142,1320,14712
7895,3359,14713
18169,4309,14714
10942,4354,14715
12156,28921,14716
7895,8405,14717
19087,25431,14718
19243,24912,14719
18219,24917,14720
18219,28505,14721
17365,2704,14722
7773,8346,14723
17745,11655,14724
18322,2691,14725
7819,8348,14726
18210,28367,14727
7895,8636,14728
3267,28367,14729
7746,8634,14730
25859,29083,14731
7923,8337,14732
18219,2781,14733
17994,29066,14734
19827,28023,14735
11700,8285,14736
19473,28953,14737
20753,28528,14738
18168,30361,14739
18313,11369,14740
7974,8197,14741
16286,11415,14742
18323,13026,14743
18171,268,14744
20683,26545,14745
13549,28260,14746
7895,8239,14747
6356,8343,14748
9117,28924,14749
1207,22708,14750
10586,22694,14751
26259,8154,14752
7895,8196,14753
7869,8351,14754
7864,8364,14755
7939,3349,14756
18219,28952,14757
21786,14141,14758
7996,8339,14759
26240,8857,14760
7895,8646,14761
18229,14628,14762
20822,13062,14763
7895,8891,14764
7895,8425,14765
1869,26034,14766
15509,28367,14767
18281,13005,14768
6760,29066,14769
14728,28288,14770
20857,30352,14771
9209,29013,14772
17513,19066,14773
773,29092,14774
7920,8024,14775
11705,8337,14776
7970,8353,14777
3750,28788,14778
10541,28367,14779
18219,29537,14780
18227,10235,14781
7804,8364,14782
18219,25087,14783
20753,4499,14784
14747,28894,14785
20753,4904,14786
20762,28921,14787
22015,28921,14788
13792,28921,14789
20753,28924,14790
18295,25829,14791
20753,2738,14792
20753,28964,14793
3911,8139,14794
20753,11419,14795
21383,28921,14796
14747,28921,14797
30869,30436,14798
18026,7677,14799
20753,28873,14800
24717,28906,14801
20758,26781,14802
20753,28927,14803
20753,28954,14804
12941,28921,14805
27581,28921,14806
7895,8014,14807
28606,26600,14808
16286,28175,14809
15589,16097,14810
15582,28366,14811
11687,8337,14812
7892,8346,14813
18219,29106,14814
7895,8380,14815
20703,2478,14816
7889,8364,14817
19720,25470,14818
18136,4448,14819
1916,25990,14820
27336,28991,14821
7705,8405,14822
7944,8343,14823
20737,22269,14824
20771,30352,14825
22579,22392,14826
20537,2670,14827
18973,30391,14828
19022,28369,14829
3708,26688,14830
7895,8507,14831
17290,28367,14832
7408,23015,14833
18333,7357,14834
18986,28369,14835
7836,8451,14836
8,8348,14837
26385,7190,14838
18263,28944,14839
18219,28177,14840
18339,28367,14841
7830,8406,14842
13413,25053,14843
7868,8488,14844
15820,28412,14845
18219,24906,14846
26877,29088,14847
18219,24954,14848
7796,8410,14849
18219,28702,14850
10278,13615,14851
18172,28654,14852
7855,8335,14853
19646,29066,14854
18227,6527,14855
7726,8421,14856
13429,18554,14857
18165,4515,14858
7845,8188,14859
7782,8337,14860
7895,8155,14861
9479,22216,14862
13546,30353,14863
7939,8374,14864
7972,8337,14865
7986,8310,14866
13208,25554,14867
7746,8400,14868
26263,941,14869
18806,28366,14870
20405,28412,14871
7895,8599,14872
7780,8647,14873
12330,28836,14874
413,28367,14875
9466,28367,14876
444,27761,14877
7945,8180,14878
20762,8140,14879
10845,29217,14880
3665,26706,14881
9209,28151,14882
18210,28177,14883
7739,8337,14884
19243,25071,14885
20753,28570,14886
7810,6317,14887
18353,24680,14888
18219,11433,14889
745,28964,14890
20462,26034,14891
10584,30752,14892
18477,28419,14893
30643,28904,14894
7895,8875,14895
18826,28366,14896
6372,8337,14897
7962,8337,14898
16243,28439,14899
15553,24899,14900
11856,28367,14901
7718,8012,14902
12183,28148,14903
7851,8343,14904
7895,8470,14905
18227,25226,14906
16968,14639,14907
12370,28055,14908
20360,28921,14909
18221,15390,14910
7895,8894,14911
20357,15355,14912
18248,185,14913
2921,15175,14914
7882,8241,14915
15832,28315,14916
7923,8274,14917
7833,8408,14918
18223,15390,14919
7892,8215,14920
6356,8215,14921
19258,2601,14922
1861,16563,14923
18219,4588,14924
19001,15391,14925
19245,302,14926
17584,28924,14927
7956,8379,14928
2928,8617,14929
18130,9957,14930
10586,30752,14931
18280,28389,14932
18590,26688,14933
18302,28105,14934
18280,27822,14935
20753,28919,14936
12232,25414,14937
7897,8310,14938
13602,26779,14939
7939,8215,14940
7845,8339,14941
21095,26977,14942
16292,15377,14943
7974,8165,14944
18196,28222,14945
7704,8374,14946
18360,12997,14947
20753,29018,14948
10705,224,14949
6352,8293,14950
25793,28921,14951
18227,30355,14952
18227,13627,14953
7974,8420,14954
17873,28399,14955
18115,2818,14956
7998,8033,14957
18227,9025,14958
18227,15322,14959
7952,8337,14960
7765,8175,14961
7846,8322,14962
12423,28873,14963
20724,28921,14964
18299,15329,14965
7991,8250,14966
20753,28856,14967
18182,28922,14968
7800,8337,14969
18216,22004,14970
11700,8904,14971
9215,15288,14972
22579,29458,14973
17595,15358,14974
7948,8337,14975
18227,15395,14976
7907,6369,14977
18219,13004,14978
18018,26730,14979
18126,10174,14980
20753,13062,14981
18159,28443,14982
14393,15320,14983
20360,6591,14984
20360,30365,14985
7995,8431,14986
20737,4041,14987
12162,15174,14988
18227,1765,14989
7956,8035,14990
479,28367,14991
3711,26537,14992
20701,28367,14993
7956,8346,14994
28744,7190,14995
18217,12876,14996
7889,8488,14997
10598,25027,14998
3667,28788,14999
18192,29066,15000
7831,8443,15001
479,28921,15002
20711,28222,15003
7735,8913,15004
9215,14587,15005
3667,28816,15006
18227,10239,15007
28757,22731,15008
19646,11977,15009
17253,29147,15010
13429,15308,15011
7796,8616,15012
7746,8654,15013
3374,26688,15014
18209,28367,15015
16293,30582,15016
18026,15359,15017
20753,1356,15018
14393,15319,15019
10783,13615,15020
18,15308,15021
14331,24664,15022
15907,28921,15023
20751,28921,15024
7747,8374,15025
11708,8272,15026
7799,8465,15027
7939,8188,15028
18188,25430,15029
11700,8483,15030
19243,29066,15031
18314,14628,15032
7956,8907,15033
6348,8250,15034
16997,28367,15035
7982,8417,15036
7984,8337,15037
20161,25246,15038
18232,3503,15039
7895,8677,15040
18109,28277,15041
18141,29054,15042
18141,28988,15043
8842,11596,15044
18227,15141,15045
27287,15141,15046
20753,28949,15047
25722,15329,15048
16267,28359,15049
20698,29545,15050
479,1764,15051
25342,15359,15052
18227,30542,15053
197,15312,15054
6656,15048,15055
21383,30468,15056
17184,24692,15057
3671,14587,15058
9189,26225,15059
16304,28921,15060
7829,8308,15061
18227,26834,15062
22584,23060,15063
2561,9695,15064
20842,28365,15065
9194,1325,15066
20869,28359,15067
12895,2697,15068
17584,28921,15069
7895,6156,15070
18282,3320,15071
26256,23060,15072
4336,24562,15073
18221,28915,15074
18172,4631,15075
13386,25501,15076
20870,25074,15077
20353,29077,15078
7790,8384,15079
7883,8337,15080
20870,25071,15081
18306,28055,15082
20677,24912,15083
20696,28359,15084
28606,4073,15085
18259,26827,15086
18324,24680,15087
20753,4447,15088
7908,8188,15089
22062,26900,15090
20869,24468,15091
20865,27020,15092
18203,15055,15093
10483,13250,15094
20437,26903,15095
18177,30358,15096
18160,26428,15097
18177,30468,15098
14393,16383,15099
18289,18554,15100
20695,25430,15101
20843,2818,15102
18289,27020,15103
25608,29084,15104
27435,11047,15105
21358,28408,15106
9215,29532,15107
20824,9833,15108
18322,25075,15109
18289,28828,15110
18026,28366,15111
7895,8613,15112
19869,28359,15113
17559,28359,15114
18171,27110,15115
1912,28355,15116
20324,28336,15117
14280,14613,15118
18355,1353,15119
18171,28454,15120
27258,28017,15121
27202,11339,15122
19917,28359,15123
18171,26684,15124
18154,1353,15125
18154,14623,15126
10556,28415,15127
6733,26794,15128
14289,28978,15129
19220,7311,15130
18171,7534,15131
25695,28359,15132
18171,27811,15133
18171,28285,15134
20661,27816,15135
18000,28988,15136
9076,28159,15137
18171,29116,15138
18171,4465,15139
6854,27811,15140
18171,28860,15141
10556,27110,15142
17845,28359,15143
449,28310,15144
18000,28359,15145
18171,9824,15146
18171,8807,15147
19623,28359,15148
9187,28359,15149
18171,28345,15150
9187,28147,15151
16265,28423,15152
17223,14623,15153
18171,28225,15154
18171,1660,15155
18171,1370,15156
16452,4462,15157
18000,28355,15158
3903,17135,15159
14155,28285,15160
7496,28213,15161
27258,28359,15162
18171,8682,15163
12257,28359,15164
20661,2681,15165
26516,28359,15166
20661,28988,15167
1852,30352,15168
20696,26653,15169
18171,26030,15170
18171,28100,15171
18171,10102,15172
18213,28359,15173
16381,28423,15174
18171,28052,15175
12140,28052,15176
18171,28988,15177
7811,8452,15178
18167,14621,15179
18154,2747,15180
16571,28423,15181
3641,14216,15182
20751,28390,15183
18150,12762,15184
7900,8374,15185
7939,8431,15186
18217,26711,15187
28752,23028,15188
19940,28451,15189
22053,28359,15190
21054,28369,15191
10762,26672,15192
20834,9995,15193
7710,8452,15194
7902,8177,15195
18225,26153,15196
17209,28366,15197
18395,15055,15198
4870,28834,15199
27604,30352,15200
12452,30352,15201
18221,15089,15202
18257,15089,15203
7916,8340,15204
20120,28371,15205
7140,28921,15206
18205,15053,15207
18223,10404,15208
15866,28315,15209
69,23587,15210
20674,24912,15211
18196,28151,15212
18221,15055,15213
15586,15055,15214
25827,15055,15215
7753,8334,15216
10801,27118,15217
18219,18398,15218
10576,13980,15219
18050,24912,15220
1613,28217,15221
14368,28280,15222
21022,11495,15223
19652,30345,15224
20663,25430,15225
18278,26724,15226
20658,28366,15227
18289,28383,15228
7829,8467,15229
21918,26400,15230
18282,28431,15231
7718,8293,15232
7895,8265,15233
20692,26724,15234
18277,24874,15235
20691,27037,15236
20691,27014,15237
21786,26918,15238
18220,28442,15239
18167,28383,15240
127,25477,15241
13792,25074,15242
18219,25239,15243
13204,18554,15244
25776,28228,15245
18198,15106,15246
18342,29545,15247
18218,24502,15248
18225,6608,15249
26080,26590,15250
18297,15189,15251
18269,29066,15252
15019,15179,15253
27290,15153,15254
13428,3497,15255
8735,14002,15256
18317,22465,15257
18225,3498,15258
3734,26688,15259
3588,15189,15260
18024,15189,15261
19248,15184,15262
20824,18534,15263
18219,30321,15264
25722,15298,15265
20748,28218,15266
26297,22985,15267
20834,28119,15268
18361,28359,15269
18312,24668,15270
18844,28358,15271
21890,26795,15272
20715,28222,15273
20716,28359,15274
18197,15132,15275
18617,28119,15276
10341,27095,15277
14388,24893,15278
20870,27106,15279
20705,28359,15280
20662,28372,15281
28772,27840,15282
18310,10174,15283
7895,3358,15284
18353,26100,15285
18217,28991,15286
18141,23561,15287
30954,28944,15288
20714,28379,15289
12156,30392,15290
19482,28932,15291
7030,28836,15292
18189,9656,15293
20705,23560,15294
17325,4455,15295
18219,13132,15296
20517,28921,15297
27851,27837,15298
27287,28845,15299
18115,12997,15300
20357,18481,15301
3559,28927,15302
27843,12961,15303
3873,13538,15304
27843,28771,15305
18223,18481,15306
18023,18481,15307
7705,8421,15308
340,12980,15309
20704,14627,15310
20704,28901,15311
10700,27113,15312
18219,18481,15313
7991,8293,15314
21860,25938,15315
18141,27031,15316
25716,29066,15317
6757,25547,15318
6682,8140,15319
474,24968,15320
12176,28337,15321
18219,29077,15322
21890,26921,15323
18195,15081,15324
20353,14594,15325
18214,15055,15326
26961,23022,15327
18342,18554,15328
17093,22600,15329
18223,18426,15330
18221,16426,15331
18221,18383,15332
6415,30669,15333
18223,15389,15334
18221,6069,15335
18227,29122,15336
18223,18383,15337
19645,15055,15338
18223,1740,15339
18223,3495,15340
18223,10403,15341
17249,13979,15342
17869,1740,15343
25586,14999,15344
18223,5052,15345
18223,1745,15346
17250,14986,15347
16290,15100,15348
5241,23463,15349
18273,26432,15350
18111,15055,15351
14384,14998,15352
16290,8678,15353
15907,30340,15354
20751,28366,15355
9213,14999,15356
15902,26709,15357
15579,30333,15358
18259,13053,15359
20737,26719,15360
18273,25074,15361
17820,5816,15362
18298,28355,15363
1868,15055,15364
18155,27037,15365
18214,9017,15366
18227,15358,15367
20315,25074,15368
9213,8054,15369
19645,5054,15370
6763,15048,15371
10535,6007,15372
18147,11831,15373
18198,15075,15374
18236,10410,15375
20743,2883,15376
3267,9038,15377
17869,15055,15378
18280,28359,15379
14426,26030,15380
20822,28366,15381
18255,3501,15382
27296,15044,15383
13426,9024,15384
18209,26729,15385
18219,12733,15386
6566,11441,15387
9131,1740,15388
21852,27033,15389
24502,22996,15390
7901,8338,15391
18137,29209,15392
3686,28367,15393
21851,4313,15394
18327,29545,15395
18271,25074,15396
21804,26405,15397
18193,8517,15398
18288,2719,15399
18193,15096,15400
21851,22465,15401
18196,2690,15402
20709,28337,15403
18333,28157,15404
20821,28366,15405
18304,28258,15406
18330,27037,15407
18295,28366,15408
27258,28014,15409
15556,8992,15410
449,28359,15411
3385,26684,15412
5212,28657,15413
19917,4445,15414
18167,28225,15415
12140,28359,15416
18171,28423,15417
449,28102,15418
18154,7534,15419
18171,4898,15420
18350,6003,15421
18171,28355,15422
14289,7511,15423
18171,6003,15424
18333,1353,15425
17559,28657,15426
18171,11599,15427
18350,25964,15428
1674,28457,15429
5316,28657,15430
17333,28359,15431
18350,28285,15432
19220,11379,15433
7053,24886,15434
13426,15137,15435
12082,14981,15436
13507,12889,15437
2862,15055,15438
18223,8520,15439
18154,18580,15440
17544,18582,15441
18154,15699,15442
18154,17687,15443
6325,14083,15444
9129,28170,15445
6669,18586,15446
18189,18580,15447
18352,24874,15448
18154,592,15449
23011,26315,15450
18223,15054,15451
18154,5959,15452
18144,9869,15453
1674,28442,15454
18144,30392,15455
3625,16387,15456
18800,28366,15457
18267,18580,15458
18154,27386,15459
9248,26908,15460
19608,18607,15461
18154,26047,15462
18154,28435,15463
14317,15054,15464
2263,24938,15465
20349,15055,15466
18221,18616,15467
18294,15055,15468
18154,5341,15469
27269,30352,15470
13381,18580,15471
6271,29151,15472
18495,18580,15473
18154,18577,15474
18154,27396,15475
3139,30546,15476
18198,10405,15477
18154,6866,15478
18304,28988,15479
26259,5655,15480
13341,289,15481
5197,20790,15482
5259,26781,15483
21860,26630,15484
20399,5008,15485
5880,5655,15486
5234,30538,15487
21858,27037,15488
12176,28015,15489
18294,15189,15490
27204,26833,15491
18219,1781,15492
18126,24668,15493
26300,23048,15494
18352,23522,15495
21808,24874,15496
18352,26642,15497
18352,27037,15498
18352,23524,15499
30954,28720,15500
11247,6157,15501
5241,30352,15502
25615,26309,15503
18296,28931,15504
6355,8589,15505
21330,12997,15506
18198,18423,15507
18198,11966,15508
18216,18490,15509
725,26965,15510
7901,8189,15511
20822,24874,15512
21857,26724,15513
18352,28337,15514
19478,25079,15515
18223,8686,15516
27287,18554,15517
17158,13981,15518
25722,18863,15519
18112,30506,15520
15032,22296,15521
1268,30472,15522
18215,27382,15523
18221,10403,15524
20609,30352,15525
20691,28910,15526
18227,30293,15527
18147,29545,15528
18458,28383,15529
18223,18581,15530
18112,28383,15531
20823,26724,15532
19246,1740,15533
18318,28431,15534
6958,28431,15535
10616,15055,15536
18223,15100,15537
18312,28361,15538
10397,22892,15539
11196,29224,15540
19642,29066,15541
18187,8134,15542
19613,24998,15543
20645,7560,15544
20879,28337,15545
12094,28367,15546
18276,23560,15547
18126,24874,15548
27346,30020,15549
18109,24291,15550
18313,26684,15551
18313,28102,15552
18313,28041,15553
17634,12999,15554
18146,28059,15555
18293,28383,15556
25772,28225,15557
5288,28359,15558
18313,28423,15559
18301,29050,15560
18313,28136,15561
25765,28285,15562
209,28275,15563
4715,4406,15564
18313,2825,15565
18313,4445,15566
18313,9960,15567
19695,28310,15568
20842,6134,15569
18313,26030,15570
18173,28272,15571
30,26461,15572
13479,28258,15573
18330,29545,15574
20676,28372,15575
27436,30014,15576
18296,6003,15577
17304,28359,15578
11314,27110,15579
18313,28657,15580
27335,28017,15581
11729,13066,15582
18313,10072,15583
10632,266,15584
6806,4445,15585
18313,1311,15586
27335,11339,15587
13180,25582,15588
18313,28225,15589
17634,7534,15590
16339,28423,15591
18313,27811,15592
27335,28359,15593
18313,10102,15594
18331,28359,15595
18313,7534,15596
18313,28355,15597
17013,10231,15598
5288,28597,15599
10486,28359,15600
18313,28285,15601
19695,28359,15602
18313,2676,15603
18313,28345,15604
10632,27110,15605
15627,28310,15606
19299,1353,15607
20410,27110,15608
18313,6003,15609
18313,2688,15610
20382,28359,15611
19299,28415,15612
9264,28359,15613
19018,24684,15614
18221,15342,15615
19515,24672,15616
18169,14628,15617
15634,28359,15618
27174,28258,15619
17634,28359,15620
14439,28285,15621
18309,2676,15622
25772,182,15623
20410,28359,15624
17918,28359,15625
3714,28052,15626
9067,28147,15627
25789,28225,15628
18313,30841,15629
18313,28415,15630
17194,28378,15631
9264,14623,15632
18313,28988,15633
21363,28337,15634
18074,6003,15635
18259,30358,15636
30954,30392,15637
27580,30392,15638
6422,25233,15639
18302,11369,15640
5244,1488,15641
18159,2680,15642
20704,26958,15643
26650,22990,15644
20775,29066,15645
17212,18566,15646
17854,26675,15647
7938,8596,15648
20000,29057,15649
17546,28371,15650
28615,22927,15651
26298,23028,15652
9209,28366,15653
17252,15359,15654
27407,15146,15655
21526,4308,15656
20753,195,15657
18112,22465,15658
569,26724,15659
18188,1348,15660
18112,14222,15661
18263,28346,15662
18112,26640,15663
18112,22754,15664
18112,26557,15665
18357,26725,15666
19576,26727,15667
14318,26628,15668
28680,23031,15669
14118,7173,15670
18323,24616,15671
18177,26038,15672
655,22760,15673
4643,26545,15674
18112,27043,15675
21853,26713,15676
25753,23562,15677
18284,26400,15678
3655,15749,15679
18160,26034,15680
5318,26964,15681
30983,18554,15682
16199,14110,15683
18292,27118,15684
18301,28375,15685
27078,28241,15686
3896,28288,15687
18306,1357,15688
5876,22858,15689
11765,28205,15690
29943,23019,15691
24874,23019,15692
29024,23019,15693
15558,28315,15694
29023,23019,15695
29022,23019,15696
26320,23019,15697
18282,28359,15698
25722,16162,15699
13448,28367,15700
12162,15170,15701
1939,16555,15702
5517,13964,15703
20842,24912,15704
20842,28359,15705
5288,28657,15706
19299,28359,15707
19325,28361,15708
18159,24874,15709
5316,28427,15710
13506,13001,15711
18098,28359,15712
18350,28657,15713
18350,13001,15714
5316,28359,15715
18350,28258,15716
3741,26684,15717
18350,28147,15718
10660,28359,15719
18153,25477,15720
17745,26297,15721
18221,16102,15722
18223,16102,15723
18159,26915,15724
18159,26650,15725
18159,24501,15726
18153,11180,15727
4008,10182,15728
5239,28668,15729
18210,23463,15730
18223,7553,15731
1886,22609,15732
18223,4916,15733
17682,15055,15734
13422,28274,15735
472,28118,15736
17584,28440,15737
19212,25074,15738
18219,11381,15739
18360,28443,15740
18219,4464,15741
18277,26657,15742
18340,28383,15743
18340,28397,15744
18123,23560,15745
18125,24680,15746
16515,7552,15747
18223,15393,15748
18282,28383,15749
5583,25569,15750
13637,28258,15751
20378,28359,15752
6757,28921,15753
3930,4445,15754
20178,28355,15755
18093,28225,15756
20834,27811,15757
18221,16406,15758
2023,28359,15759
17745,26309,15760
18158,28383,15761
18279,27033,15762
20834,28383,15763
18158,28359,15764
19350,28415,15765
9349,6003,15766
29184,28454,15767
27775,28359,15768
18221,16421,15769
18158,27110,15770
18223,16421,15771
18760,28366,15772
20309,28412,15773
20828,28921,15774
20828,29066,15775
20828,30352,15776
18289,25074,15777
20828,28372,15778
5510,29066,15779
20828,25477,15780
19993,26714,15781
16971,25074,15782
14388,29042,15783
4330,4427,15784
7876,8339,15785
18219,15108,15786
27283,16459,15787
12234,28921,15788
16938,28921,15789
3808,28367,15790
26253,12619,15791
16274,28921,15792
27852,27838,15793
13823,29035,15794
20746,9977,15795
10545,27110,15796
18158,7534,15797
3629,28359,15798
18158,5857,15799
16252,28359,15800
25684,28240,15801
18158,28336,15802
18158,28310,15803
437,28359,15804
10545,28359,15805
18158,10102,15806
27016,22990,15807
18114,4499,15808
3741,28359,15809
27035,22990,15810
18350,27119,15811
18350,8968,15812
22082,28367,15813
26279,22962,15814
18296,28369,15815
3708,28367,15816
5119,24962,15817
26610,26468,15818
23025,27014,15819
19186,28179,15820
18162,26034,15821
12133,28054,15822
27398,25477,15823
1869,30954,15824
18223,3541,15825
15520,28367,15826
6919,26145,15827
5013,30008,15828
19711,29537,15829
18280,7609,15830
25717,28944,15831
11590,8271,15832
20881,6006,15833
3065,19526,15834
14743,19351,15835
18546,18554,15836
18189,10107,15837
17312,1454,15838
20880,10107,15839
18301,27037,15840
14939,22892,15841
30785,28462,15842
3536,28785,15843
18227,28906,15844
18023,15348,15845
18340,27020,15846
18340,4375,15847
18130,26914,15848
20699,28359,15849
19975,28359,15850
3889,26684,15851
20699,28415,15852
20699,28657,15853
20694,28359,15854
27554,28017,15855
20699,28336,15856
20226,11347,15857
20694,27110,15858
20699,13001,15859
16944,28359,15860
20699,26788,15861
9464,28344,15862
20699,29005,15863
18506,28359,15864
30926,28359,15865
20699,24675,15866
2161,28359,15867
27554,28359,15868
20699,4417,15869
9464,28147,15870
3889,28359,15871
22087,28359,15872
20696,13001,15873
20699,4445,15874
20318,28359,15875
14722,28285,15876
20699,11366,15877
30926,28225,15878
11636,28359,15879
19975,28451,15880
19975,10123,15881
7009,28359,15882
18506,12995,15883
20699,28052,15884
20699,28188,15885
20699,1353,15886
20801,27110,15887
722,2688,15888
20699,26684,15889
20699,14623,15890
21351,28415,15891
20801,28359,15892
20819,28359,15893
20696,4445,15894
14722,28359,15895
20699,28345,15896
13768,28359,15897
2161,26030,15898
20699,28310,15899
20699,2688,15900
20699,28225,15901
